 LaLiga Santander, Real Madrid, Cristiano Ronaldo, Portugal
 Süper Lig, Kardemir Karabükspor, Ercüment Kafkasyalı, Turkey
 EFL League One, Scunthorpe United, Luke Williams, England
 Scottish Premiership, Portsmouth, Milan Lalkovič, Slovakia
 K LEAGUE Classic, Sangju Sangmu FC, Lee Jae Moung, Korea Republic
 EFL League One, Southend United, Ryan Leonard, England
 Calcio B, Chiavari, Giacomo Beretta, Italy
 Calcio B, Salerno, Ronaldo, Brazil
 Österreichische Fußball-Bundesliga, FC Admira Wacker Mödling, Christoph Knasmüllner, Austria
 EFL League One, Oldham Athletic, Ollie Banks, England
 Bundesliga 2, 1. FC Heidenheim 1846, Denis Thomalla, Germany
 EFL Championship, Nottingham Forest, Nicolao Dumitru, Italy
 Domino’s Ligue 2, Stade de Reims, Odaïr Fortes, Cape Verde Islands
 Ekstraklasa, Pogoń Szczecin, Jakub Słowik, Poland
 Ekstraklasa, Zagłębie Lubin, Adrian Rakowski, Poland
 Tippeligaen, FK Haugesund, Torbjørn Agdestein, Norway
 Calcio B, Bari, Federico Furlan, Italy
 Alka Superliga, TSV 1860 München, Krisztián Simon, Hungary
 EFL League One, Sheffield United, George Long, England
 K LEAGUE Classic, Brisbane Roar, Dimitri Petratos, Australia
 Alka Superliga, D.C. United, Chris Korb, United States
 Alka Superliga, Seattle Sounders FC, Michael Farfan, United States
 Major League Soccer, Columbus Crew SC, Hector Jimenez, United States
 Tippeligaen, Sarpsborg 08 FF, Ole Heieren Hansen, Norway
 Tippeligaen, Tromsø IL, Magnar Ødegaard, Norway
 K LEAGUE Classic, Jeju United FC, Kim Ho Nam, Korea Republic
 Eredivisie, Go Ahead Eagles, Erik Cummins, Holland
 K LEAGUE Classic, Suwon FC, Kim Byeong Oh, Korea Republic
 Österreichische Fußball-Bundesliga, Wolfsberger AC, Christopher Wernitznig, Austria
 Österreichische Fußball-Bundesliga, SV Mattersburg, Thorsten Röcher, Austria
 Allsvenskan, Hammarby IF, Johan Persson, Sweden
 K LEAGUE Classic, Shonan Bellmare, Weslley, Brazil
 Premier League, Southampton, Jack Stephens, England
 K LEAGUE Classic, Jeonbuk Hyundai Motors, Ko Moo Yeol, Korea Republic
 K LEAGUE Classic, Sangju Sangmu FC, Kim Oh Gyu, Korea Republic
 LIGA Bancomer MX, Club Atlas, Edson Rivera, Mexico
 Major League Soccer, Brøndby IF, Marcos Ureña, Costa Rica
 Allsvenskan, Hammarby IF, David Boo Wiklander, Sweden
 Alka Superliga, Sangju Sangmu FC, Lee Woong Hee, Korea Republic
 Allsvenskan, Helsingborgs IF, Carl Wede, Sweden
 EFL Championship, Barnsley, Josh Scowen, England
 Österreichische Fußball-Bundesliga, SK Sturm Graz, James Jeggo, Australia
 EFL League One, Milton Keynes Dons, Scott Wootton, England
 Scottish Premiership, Inverness Caledonian Thistle, Larnell Cole, England
 Hyundai A-League, Sydney FC, Joshua Brillante, Australia
 EFL League One, AFC Wimbledon, Jake Reeves, England
 Scottish Premiership, Ross County FC, Alex Schalk, Holland
 Alka Superliga, Notts County, Louis Laing, England
 Sogaz Russian Football Championship, Terek Grozny, Odise Roshi, Albania
 Bundesliga 2, 1. FC Union Berlin, Raffael Korte, Germany
 Ekstraklasa, Śląsk Wrocław, Alvarinho, Portugal
 Raiffeisen Super League, FC Luzern, Kaja Rogulj, Croatia
 Eredivisie, ADO Den Haag, Tom Trybull, Germany
 Scottish Premiership, Aberdeen, Anthony O'Connor, Republic of Ireland
 Raiffeisen Super League, FC Lausanne-Sport, Pak Kwang Ryong, Korea DPR
 Alka Superliga, Vercelli, Søren Mussmann, Denmark
 Alka Superliga, SV Werder Bremen, Janek Sternberg, Germany
 Belgium Pro League, Royal Excel Mouscron, Dimitri Mohamed, France
 EFL League Two, Crewe Alexandra, Ben Nugent, England
 Domino’s Ligue 2, Athlétic Club Ajaccio, Rayan Frikèche, Morocco
 Eredivisie, Excelsior, Stanley Elbers, Holland
 Bundesliga 2, VfB Stuttgart, Stephen Sama, Germany
 Raiffeisen Super League, FC Luzern, Sally Sarr, France
 Bundesliga 2, SV Sandhausen, Julian Derstroff, Germany
 LaLiga Santander, RC Celta, Gus Ledes, Portugal
 Alka Superliga, Seongnam FC, Lee Jong Won, Korea Republic
 Scottish Premiership, Motherwell, Carl McHugh, Republic of Ireland
 Österreichische Fußball-Bundesliga, SK Rapid Wien, Stephan Auer, Austria
 Domino’s Ligue 2, Tours Football Club, Ibrahima Tandia, Mali
 K LEAGUE Classic, Jeonnam Dragons, Jeon Woo Young, Korea Republic
 Meiji Yasuda J1 League, Kashiwa Reysol, Yuki Otsu, Japan
 Allsvenskan, Helsingborgs IF, Frederik Helstrup, Denmark
 Alka Superliga, Aarhus GF, Daniel Pedersen, Denmark
 Bundesliga, 1. FSV Mainz 05, Philipp Klement, Germany
 Sogaz Russian Football Championship, FC Arsenal Tula, Alexandr Filtsov, Russia
 EFL Championship, Fulham, Ryan Fredericks, England
 EFL League Two, Crawley Town, Enzio Boldewijn, Holland
 Alka Superliga, Aarhus GF, Alexander Juel Andersen, Denmark
 Premier League, Middlesbrough, James Husband, England
 Alka Superliga, Kilmarnock, Souleymane Coulibaly, Côte d'Ivoire
 Calcio B, Ascoli, Ivan Lanni, Italy
 Alka Superliga, Al Khaleej, Alexander López, Honduras
 Calcio B, Salerno, Pietro Terracciano, Italy
 EFL Championship, Fulham, Cauley Woodrow, England
 Bundesliga 2, VfB Stuttgart, Borys Tashchy, Ukraine
 EFL Championship, Norwich City, Josh Murphy, England
 EFL League One, Scunthorpe United, Harry Toffolo, England
 Bundesliga 2, VfB Stuttgart, Benjamin Uphoff, Germany
 Alka Superliga, Kayserispor, Ufuk Budak, Azerbaijan
 Hyundai A-League, Melbourne Victory, Daniel Georgievski, FYR Macedonia
 Belgium Pro League, Waasland-Beveren, Rudy Camacho, France
 EFL Championship, Preston North End, Callum Robinson, England
 EFL Championship, Ipswich Town, Paul Digby, England
 EFL Championship, Burton Albion, Tom Naylor, England
 EFL Championship, Luton Town, Christian Walton, England
 EFL League One, Port Vale, Remie Streete, England
 Major League Soccer, New York Red Bulls, Connor Lade, United States
 EFL Championship, Reading, Dominic Samuel, England
 Alka Superliga, Sporting Club de Bastia, Paul Charruau, France
 K LEAGUE Classic, Jeonnam Dragons, Lee Seul Chan, Korea Republic
 Major League Soccer, New York Red Bulls, Ryan Meara, Republic of Ireland
 EFL League One, Burton Albion, Callum Reilly, Republic of Ireland
 Allsvenskan, IFK Norrköping, Nikola Tkalčić, Croatia
 Österreichische Fußball-Bundesliga, FC Admira Wacker Mödling, Lukas Grozurek, Austria
 EFL League Two, Rochdale, Sanmi Odelusi, England
 Alka Superliga, RCD Mallorca, Álex Serrano, Spain
 K LEAGUE Classic, Sangju Sangmu FC, Park Soo Chang, Korea Republic
 LaLiga 1 I 2 I 3, CD Mirandés, Pedro Martín, Spain
 Major League Soccer, San Jose Earthquakes, Cordell Cato, Trinidad and Tobago
 Österreichische Fußball-Bundesliga, SKN St. Pölten, Lukas Thürauer, Austria
 Alka Superliga, Sint-Truidense VV, Kévin Koubemba, Congo
 Dawry Jameel, Al Ahli, Amiri Kurdi, Saudi Arabia
 Bundesliga 2, SV Sandhausen, Erik Zenga, Germany
 K LEAGUE Classic, Jeju United FC, Bae Il Hwan, Korea Republic
 Allsvenskan, IFK Göteborg, Tom Pettersson, Sweden
 Allsvenskan, Hammarby IF, Pa Dibba, Gambia
 Domino’s Ligue 2, ESTAC Troyes, Christophe Hérelle, France
 Scottish Premiership, Ross County FC, Tim Chow, England
 Tippeligaen, Viking FK, Zymer Bytyqi, Norway
 Eredivisie, Willem II, Jordy Croux, Belgium
 EFL Championship, Rotherham United, Will Vaulks, England
 EFL League Two, Mansfield Town, Malvind Benning, England
 EFL Championship, Milton Keynes Dons, George Williams, Wales
 Dawry Jameel, Al Faisaly, Khaled Asiri, Saudi Arabia
 Dawry Jameel, Al Nassr, Hussain Shaian, Saudi Arabia
 Dawry Jameel, Al Shabab, Saleh Al Qumayzi, Saudi Arabia
 Bundesliga 2, SG Dynamo Dresden, Patrick Wiegers, Germany
 Ligue 1, Montpellier Hérault SC, Nicolas Saint-Ruf, France
 Belgium Pro League, KVC Westerlo, Elton Acolatse, Holland
 Ekstraklasa, Pogoń Szczecin, Sebastian Rudol, Poland
 Dawry Jameel, Al Nassr, Ahmad Walpi Aqqash, Saudi Arabia
 Dawry Jameel, Al Fateh, Mohammed Al Fehaid, Saudi Arabia
 Dawry Jameel, Al Nassr, Rabeaa Sefiani, Saudi Arabia
 Dawry Jameel, Al Fateh, Abdulaziz Bo Shagra, Saudi Arabia
 EFL Championship, Reading, Danzell Gravenberch, Suriname
 Calcio B, Vercelli, Umberto Germano, Italy
 Süper Lig, SK Sturm Graz, Bright Edomwonyi, Nigeria
 Alka Superliga, Tiburones Rojos de Veracruz, Luis Sánchez, Mexico
 South African FL, Kaizer Chiefs, Kgotso Moleko, South Africa
 Eredivisie, FC Twente, Tim Hölscher, Germany
 Domino’s Ligue 2, Amiens SC, Georges Gope-Fenepej, New Caledonia
 Dawry Jameel, Al Raed, Jufain Al Bishi, Saudi Arabia
 Alka Superliga, Sparta Rotterdam, Robert Klaasen, Holland
 Dawry Jameel, Al Faisaly, Omar Abdulaziz, Saudi Arabia
 LIGA Bancomer MX, Club Tijuana, Kevin Gutiérrez, Mexico
 Premier League, Bournemouth, Brad Smith, Australia
 EFL Championship, Brentford, Lewis MacLeod, Scotland
 Ekstraklasa, Ruch Chorzów, Paweł Oleksy, Poland
 Ligue 1, Dijon FCO, Anthony Belmonte, France
 Ligue 1, FC Nantes, Abdoulaye Touré, France
 Österreichische Fußball-Bundesliga, SV Mattersburg, Markus Kuster, Austria
 Österreichische Fußball-Bundesliga, SCR Altach, Christian Schilling, Austria
 Österreichische Fußball-Bundesliga, SK Sturm Graz, Kristijan Dobras, Austria
 Österreichische Fußball-Bundesliga, SK Sturm Graz, Marc André Schmerböck, Austria
 Liga NOS, CD Nacional, Nuno Campos, Portugal
 Süper Lig, Gaziantepspor, Emre Nefiz, Turkey
 Österreichische Fußball-Bundesliga, FC Admira Wacker Mödling, Thomas Ebner, Austria
 LIGA Bancomer MX, U.N.A.M., Luis Quintana, Mexico
 Dawry Jameel, Al Fateh, Mohammed Abosaban, Saudi Arabia
 K LEAGUE Classic, Incheon United FC, Jin Seong Wook, Korea Republic
 Dawry Jameel, Al Faisaly, Wesam Al Swed, Saudi Arabia
 Belgium Pro League, Sint-Truidense VV, Fabien Tchenkoua, France
 Belgium Pro League, KV Kortrijk, Birger Verstraete, Belgium
 Dawry Jameel, Al Hilal, Abdullah Ateef, Saudi Arabia
 Major League Soccer, Strømsgodset IF, Bismark Adjei-Boateng, Ghana
 Dawry Jameel, Al Ahli, Eslam Seraj, Saudi Arabia
 LaLiga Santander, Real Betis, De La Hoz, Spain
 Bundesliga 2, DSC Arminia Bielefeld, Tomasz Hołota, Poland
 Ekstraklasa, Ruch Chorzów, Adam Pazio, Poland
 Tippeligaen, Stabæk Fotball, Luc Kassi, Côte d'Ivoire
 Allsvenskan, BK Häcken, Nasiru Mohammed, Ghana
 EFL Championship, Burton Albion, Jackson Irvine, Australia
 South African FL, Orlando Pirates, Thamsanqa Gabuza, South Africa
 EFL League Two, Doncaster Rovers, Luke McCullough, Northern Ireland
 EFL Championship, Ipswich Town, Tom Lawrence, Wales
 Alka Superliga, Olympique de Marseille, Gaël Andonian, Armenia
 EFL League One, Chesterfield, Paul McGinn, Scotland
 Hyundai A-League, Wellington Phoenix, Louis Fenton, New Zealand
 Ekstraklasa, Ruch Chorzów, Martin Konczkowski, Poland
 Alka Superliga, CS Marítimo, Wellington Lima, Brazil
 Dawry Jameel, Al Taawoun, Sari Amro, Saudi Arabia
 Bundesliga 2, FC Erzgebirge Aue, Dimitrij Nazarov, Azerbaijan
 Bundesliga 2, Eintracht Braunschweig, Quirin Moll, Germany
 Hellas Liga, Panathinaikos FC, Odisseas Vlachodimos, Germany
 K LEAGUE Classic, Ulsan Hyundai Horang-i, Jeong Dong Ho, Korea Republic
 LIGA Bancomer MX, Guadalajara, Michael Pérez, Mexico
 Domino’s Ligue 2, Stade Lavallois Mayenne FC, Clarck Nsikulu, Congo DR
 EFL Championship, Leeds United, Matthew Grimes, England
 Belgium Pro League, KV Mechelen, Jordi Vanlerberghe, Belgium
 Alka Superliga, Portland Timbers, Chris Klute, United States
 Liga NOS, Estoril Praia, Konstantin Bazelyuk, Russia
 Alka Superliga, New York City Football Club, Diego Martínez, Argentina
 Alka Superliga, Atlético Bucaramanga, Víctor Zapata, Colombia
 EFL Championship, Queens Park Rangers, Michael Petrasso, Canada
 Österreichische Fußball-Bundesliga, FC Admira Wacker Mödling, Markus Lackner, Austria
 K LEAGUE Classic, Seongnam FC, Park Yong Ji, Korea Republic
 Domino’s Ligue 2, ESTAC Troyes, Johann Obiang, Gabon
 EFL League One, Aberdeen, Wes Burns, Wales
 Scottish Premiership, Heart of Midlothian, John Souttar, Scotland
 Eredivisie, Go Ahead Eagles, Joey Suk, Holland
 Bundesliga 2, Karlsruher SC, David Kinsombi, Germany
 Bundesliga, VfL Wolfsburg, Marian Sarr, Germany
 Major League Soccer, Chicago Fire Soccer Club, Luis Solignac, Argentina
 Alka Superliga, Montreal Impact, Kyle Bekker, Canada
 Tippeligaen, FK Bodø/Glimt, Brede Mathias Moe, Norway
 Alka Superliga, Stade de Reims, Antoine Conte, France
 Dawry Jameel, Al Taawoun, Talal Al Absi, Saudi Arabia
 Belgium Pro League, KAS Eupen, Raoul Kenne, Cameroon
 Österreichische Fußball-Bundesliga, SK Sturm Graz, Sascha Horvath, Austria
 Süper Lig, Kalmar FF, Jonathan Ring, Sweden
 Bundesliga, SV Darmstadt 98, Igor Berezovskyi, Ukraine
 Allsvenskan, Helsingborgs IF, Darijan Bojanić, Sweden
 Ekstraklasa, Jagiellonia Białystok, Jonatan Straus, Poland
 Alka Superliga, Randers FC, Nicolai Poulsen, Denmark
 EFL League Two, Doncaster Rovers, Aaron Taylor-Sinclair, Scotland
 Liga Dimayor, Jaguares Fútbol Club, Sebastián López, Argentina
 Alka Superliga, Northampton Town, Kenji Gorré, Holland
 LaLiga Santander, RC Celta, Robert Costa, Spain
 EFL Championship, Cheltenham Town, Koby Arthur, Ghana
 EFL Championship, Blackburn Rovers, Sam Gallagher, England
 Alka Superliga, Rionegro Águilas, Jhon Zea, Colombia
 Alka Superliga, Deportivo Pasto, Camilo Ceballos, Colombia
 Major League Soccer, FC Red Bull Salzburg, Yordy Reyna, Peru
 Liga Dimayor, Junior FC, David Murillo, Colombia
 Liga Dimayor, Boyacá Chicó FC, Johnny Mostasilla, Colombia
 Dawry Jameel, Al Wehda, Adolfo Lima, Uruguay
 Campeonato Scotiabank, CD Everton de Viña del Mar, Nicolás Orellana, Chile
 Alka Superliga, Atlético Bucaramanga, Maicol Balanta, Colombia
 Liga Dimayor, La Equidad, Diego Novoa, Colombia
 Campeonato Scotiabank, Universidad de Chile, Rodrigo Ureña, Chile
 Liga Dimayor, Alianza Petrolera, Eder Chaux, Colombia
 Campeonato Scotiabank, CD Palestino, Esteban Carvajal, Chile
 Liga Dimayor, Rionegro Águilas, Jhonny Meza, Colombia
 Liga Dimayor, FC Dallas, Juan Ortiz, Colombia
 Liga Dimayor, Atlético Nacional, Cristian Vargas, Colombia
 Campeonato Scotiabank, Santiago Wanderers, Nery Veloso, Chile
 Campeonato Scotiabank, Santiago Wanderers, Agustín Parra, Chile
 EFL Championship, Brighton & Hove Albion, Henrik Bjørdal, Norway
 Allsvenskan, Kalmar FF, Marko Biskupovic, Chile
 Campeonato Scotiabank, San Luis de Quillota, Gonzalo Sepúlveda, Chile
 Dawry Jameel, Al Ittihad, Mohammed Qassim, Saudi Arabia
 LIGA Bancomer MX, Deportivo Pasto, Leandro Velázquez, Argentina
 Primera División, Defensa y Justicia, Leonel Miranda, Argentina
 Primera División, San Martín, Francisco Mattia, Argentina
 Primera División, Club Atlético Lanús, Santiago Zurbriggen, Argentina
 Primera División, Arsenal de Sarandí, Federico Milo, Argentina
 Campeonato Scotiabank, Deportes Iquique, Mauricio Zenteno, Chile
 Primera División, Victoria, Martín Galmarini, Argentina
 Premier League, Gillingham, Baily Cargill, England
 Primera División, Club Olimpo, Joel Sacks, Argentina
 Primera División, Colón de Santa Fe, Raúl Iberbia, Argentina
 Domino’s Ligue 2, Stade Brestois 29, Brendan Chardonnet, France
 Alka Superliga, Perugia, Victor Da Silva, Brazil
 Scottish Premiership, Partick Thistle F.C., Stuart Bannigan, Scotland
 Alka Superliga, Esbjerg fB, Kevin Mensah, Denmark
 Eredivisie, Go Ahead Eagles, Lars Lambooij, Holland
 Calcio A, Lazio, Mamadou Tounkara, Spain
 Scottish Premiership, Bournemouth, Emerson Hyndman, United States
 Sogaz Russian Football Championship, FC Ufa, Nikolay Safronidi, Russia
 Dawry Jameel, Al Nassr, Ali Al Khaibari, Saudi Arabia
 Primera División, Victoria, Óliver Benítez, Argentina
 Sogaz Russian Football Championship, Gimnasia y Esgrima La Plata, Federico Rasic, Argentina
 Primera División, Atlético de Rafaela, Ramiro Costa, Argentina
 Österreichische Fußball-Bundesliga, Wolfsberger AC, Tadej Trdina, Slovenia
 Domino’s Ligue 2, ESTAC Troyes, Karim Azamoum, France
 Bundesliga 2, Fortuna Düsseldorf, Ihlas Bebou, Togo
 Bundesliga 2, 1. FC Kaiserslautern, Phillipp Mwene, Austria
 Belgium Pro League, Waasland-Beveren, Merveille Goblet, Belgium
 Premier League, Manchester City, Angus Gunn, England
 Domino’s Ligue 2, Amiens SC, Joachim Eickmayer, France
 Bundesliga 2, VfL Bochum 1848, Jannik Bandowski, Germany
 Calcio B, Ferrara, Michele Cremonesi, Italy
 EFL League One, Fleetwood Town, Chris Long, England
 Major League Soccer, Toronto FC, Mark Bloom, United States
 Alka Superliga, Rionegro Águilas, Roberto Chen, Panama
 Alka Superliga, FC Arouca, Bruno Lopes, Brazil
 EFL Championship, Queens Park Rangers, Conor Washington, Northern Ireland
 Domino’s Ligue 2, Chamois Niortais Football Club, Saturnin Allagbé, Benin
 Primera División, Club Atlético Sarmiento, Francisco Dutari, Argentina
 Calcio A, Genoa, Olivier Ntcham, France
 Liga Dimayor, Deportivo Pasto, Ricardo Villarraga, Colombia
 Alka Superliga, Orlando Pirates, Felipe Ovono, Equatorial Guinea
 Scottish Premiership, Rangers FC, Josh Windass, England
 Domino’s Ligue 2, Gazélec Football Club Ajaccio, Christophe Diedhiou, Senegal
 Campeonato Scotiabank, Gimnasia y Esgrima La Plata, Manuel García, Argentina
 Campeonato Scotiabank, Belgrano de Córdoba, Nicolás Ferreyra, Argentina
 Calcio B, Terni, Martin Valjent, Slovakia
 Belgium Pro League, Royal Excel Mouscron, Stefan Šimić, Czech Republic
 LaLiga 1 I 2 I 3, CD Tenerife, Iñaki Sáenz, Spain
 Calcio B, Ascoli, Leonardo Pérez, Italy
 Liga NOS, Tondela, Claude Gonçalves, Portugal
 Belgium Pro League, Sint-Truidense VV, Damien Dussaut, France
 LaLiga Santander, Real Madrid, Rubén Yáñez, Spain
 Allsvenskan, GIF Sundsvall, Noah Sonko Sundberg, Sweden
 Allsvenskan, AIK, Anton Salétros, Sweden
 Domino’s Ligue 2, Valenciennes FC, Abdoul Aziz Kaboré, Burkina Faso
 Primera División, Patronato, Arnaldo González, Argentina
 Domino’s Ligue 2, Nîmes Olympique, Gaëtan Paquiez, France
 Alka Superliga, Puebla, Sergio Ceballos, Mexico
 Primera División, Club Atlético Sarmiento, Marcos Astina, Argentina
 LaLiga Santander, RCD Espanyol, Rufo, Spain
 LIGA Bancomer MX, Puebla, Eduardo Pérez, Mexico
 Calcio B, Benevento, Lorenzo Venuti, Italy
 Alka Superliga, Randers FC, Edgar Babayan, Denmark
 LaLiga 1 I 2 I 3, Manchester City, Angeliño, Spain
 Liga Dimayor, Patriotas Boyacá FC, Larry Vásquez, Colombia
 Dawry Jameel, Al Ittihad, Majed Al Khaibari, Saudi Arabia
 Major League Soccer, Orlando City Soccer Club, Carlos Rivas, Colombia
 Belgium Pro League, KV Mechelen, Ahmed El Messaoudi, Morocco
 LaLiga 1 I 2 I 3, CD Mirandés, Alain Oyarzun, Spain
 Ekstraklasa, Lech Poznań, Dawid Kownacki, Poland
 Liga Dimayor, Deportivo Cali, Juan Quintero, Colombia
 Alka Superliga, Deportivo Pasto, Nelino Tapia, Colombia
 Campeonato Scotiabank, CD Everton de Viña del Mar, Matías Blázquez, Chile
 LaLiga 1 I 2 I 3, Manchester City, Pablo Maffeo, Spain
 Dawry Jameel, Al Hilal, Khaled Al Kaabi, Saudi Arabia
 K LEAGUE Classic, Jeju United FC, Lee Chang Min, Korea Republic
 Alka Superliga, SG Dynamo Dresden, Tim Väyrynen, Finland
 Major League Soccer, Colorado Rapids, Marlon Hairston, United States
 Dawry Jameel, Al Qadisiyah, Yaseen Barnawi, Saudi Arabia
 Major League Soccer, Colorado Rapids, Eric Miller, United States
 Allsvenskan, Gefle IF, Simon Skrabb, Finland
 Tippeligaen, Vålerenga Fotball, Rasmus Lindkvist, Sweden
 Major League Soccer, Toronto FC, Nick Hagglund, United States
 Major League Soccer, Orlando City Soccer Club, Pedro Ribeiro, Brazil
 Major League Soccer, New York Red Bulls, Chris Duvall, United States
 Alka Superliga, Toronto FC, Daniel Lovitz, United States
 Alka Superliga, Quilmes Atlético Club, Fernando De la Fuente, Argentina
 Bundesliga 2, Karlsruher SC, Ylli Sallahi, Austria
 Eredivisie, Vitesse, Arshak Koryan, Russia
 Major League Soccer, Colorado Rapids, Jared Watts, United States
 Campeonato Scotiabank, Colo-Colo, Bryan Carvallo, Chile
 Raiffeisen Super League, FC St. Gallen, Albian Ajeti, Switzerland
 Liga Dimayor, Millonarios FC, Óscar Barreto, Colombia
 Bundesliga, RB Leipzig, Benjamin Bellot, Germany
 Bundesliga, FC Augsburg, Marvin Friedrich, Germany
 LaLiga Santander, Real Madrid, Nikos Vergos, Greece
 Major League Soccer, Real Salt Lake, Justen Glad, United States
 Major League Soccer, Liniers, Yamil Asad, Argentina
 Raiffeisen Super League, FC Sion, Daniel Follonier, Switzerland
 K LEAGUE Classic, Pohang Steelers, Kang Sang Woo, Korea Republic
 EFL League One, Chesterfield, Jon Nolan, England
 Calcio B, Brescia, Edoardo Lancini, Italy
 EFL League Two, Cambridge United, Luke Berry, England
 Ekstraklasa, Cracovia, Krzysztof Piątek, Poland
 Bundesliga 2, Eintracht Braunschweig, Julius Biada, Germany
 Eredivisie, Excelsior, Kevin Vermeulen, Holland
 Belgium Pro League, Royal Excel Mouscron, Cristian Manea, Romania
 Primera División, Club Atlético Banfield, Lihué Prichoda, Argentina
 LIGA Bancomer MX, Club Tijuana, Emanuel Aguilera, Argentina
 Ekstraklasa, Partick Thistle F.C., Ziggy Gordon, Scotland
 Domino’s Ligue 2, Chamois Niortais Football Club, Alliou Dembele, France
 Domino’s Ligue 2, Gazélec Football Club Ajaccio, Rafik Boujedra, Tunisia
 Ekstraklasa, Śląsk Wrocław, Mario Engels, Germany
 Süper Lig, Akhisar Belediyespor, Aykut Çeviker, Turkey
 Dawry Jameel, Al Khaleej, Muslim Al Furayj, Saudi Arabia
 Alka Superliga, Kayserispor, Furkan Yaman, Turkey
 Süper Lig, Kardemir Karabükspor, İlhan Depe, Turkey
 Primera División, Club Atlético Banfield, Mauricio Asenjo, Argentina
 Eredivisie, Feyenoord, Wessel Dammers, Holland
 Campeonato Scotiabank, CD Huachipato, Claudio Jopia, Chile
 Bundesliga, Borussia Mönchengladbach, Marvin Schulz, Germany
 Österreichische Fußball-Bundesliga, SK Rapid Wien, Srdjan Grahovac, Bosnia and Herzegovina
 Österreichische Fußball-Bundesliga, SK Sturm Graz, Andreas Gruber, Austria
 Ligue 1, Olympique de Marseille, Aaron Leya Iseka, Belgium
 Belgium Pro League, KVC Westerlo, Hervé Matthys, Belgium
 Raiffeisen Super League, Grasshopper Club Zürich, Vaso Vasic, Serbia
 EFL Championship, Norwich City, Sergi Canós, Spain
 Primera División, Independiente, Néstor Breitenbruch, Argentina
 Liga Dimayor, Millonarios FC, Gabriel Diaz, Colombia
 Ekstraklasa, Piast Gliwice, Paweł Moskwik, Poland
 EFL Championship, Leeds United, Kalvin Phillips, England
 LaLiga 1 I 2 I 3, Rayo Vallecano, Diego Aguirre, Spain
 Eredivisie, PSV, Jordy de Wijs, Holland
 Eredivisie, ADO Den Haag, Tyronne Ebuehi, Holland
 Calcio A, Cagliari, Nicolò Barella, Italy
 Eredivisie, AZ, Nick Olij, Holland
 Süper Lig, Beşiktaş JK, Oğuzhan Aydoğan, Germany
 Ekstraklasa, Jagiellonia Białystok, Taras Romanchuk, Ukraine
 Liga Dimayor, Envigado FC, Jefferson Gómez, Colombia
 Primera División, Unión Española, Adrián Scifo, Argentina
 Primera División, Club Olimpo, Emiliano Tellechea, Uruguay
 Domino’s Ligue 2, Tours Football Club, Bingourou Kamara, France
 Calcio B, Trapani, Pietro Visconti, Italy
 EFL Championship, Brentford, Rico Henry, England
 Campeonato Scotiabank, CD Cobresal, Israel Poblete, Chile
 Sogaz Russian Football Championship, FC Tom Tomsk, Aleksey Pugin, Russia
 Tippeligaen, Lillestrøm SK, Tomáš Malec, Slovakia
 Liga NOS, Tondela, Cardoso, Portugal
 LaLiga Santander, RCD Espanyol, Mickaël Latour, France
 Premier League, Everton, Mason Holgate, England
 Domino’s Ligue 2, Racing Club de Lens, Abdoul Ba, Mauritania
 Ligue 1, Montpellier Hérault SC, Ellyes Skhiri, Tunisia
 Calcio B, Perugia, Gennaro Acampora, Italy
 Eredivisie, SC Heerenveen, Pelle van Amersfoort, Holland
 Dawry Jameel, Al Taawoun, Abdulrahman Al Shammari, Saudi Arabia
 Liga Dimayor, Independiente Santa Fe, Sebastián Salazar, Colombia
 Bundesliga 2, 1. FC Kaiserslautern, Marlon Frey, Germany
 Domino’s Ligue 2, Amiens SC, Quentin Cornette, France
 Sogaz Russian Football Championship, Spartak Moscow, Alexandr Zuev, Russia
 Calcio B, Benevento, George Puşcaş, Romania
 Raiffeisen Super League, BSC Young Boys, Kasim Adams, Ghana
 Domino’s Ligue 2, Athlétic Club Ajaccio, Marvin Diop, France
 Premier League, Arsenal, Ainsley Maitland-Niles, England
 Calcio B, Brescia, Gaston Camara, Guinea
 Ekstraklasa, Lechia Gdańsk, Milen Gamakov, Bulgaria
 Eredivisie, FC Groningen, Desevio Payne, United States
 Bundesliga 2, Eintracht Braunschweig, Maximilian Sauer, Germany
 Primera División, Patronato, Renzo Vera, Argentina
 Premier League, Everton, Kieran Dowell, England
 Hyundai A-League, Melbourne City, Fernando Brandán, Argentina
 Primera División, Club Atlético Huracán, Matías Giordano, Argentina
 Scottish Premiership, Celtic, Kieran Tierney, Scotland
 Allsvenskan, Örebro SK, Ferhad Ayaz, Sweden
 Liga Dimayor, Jaguares Fútbol Club, Ramón Córdoba, Colombia
 Liga Dimayor, Deportivo Cali, Felipe Banguero, Colombia
 K LEAGUE Classic, GwangJu FC, Kim Min Hyeok, Korea Republic
 Österreichische Fußball-Bundesliga, FK Austria Wien, Felipe Pires, Brazil
 Alka Superliga, Chamois Niortais Football Club, Pierre Slidja, France
 Liga Dimayor, Alianza Petrolera, Jeison Palacios, Colombia
 Major League Soccer, Seattle Sounders FC, Cristian Roldan, United States
 Alka Superliga, Montreal Impact, Amadou Dia, United States
 Liga NOS, FC Paços de Ferreira, Bruno Santos, Brazil
 Süper Lig, Alanyaspor, Berkan Emir, Turkey
 Ekstraklasa, Ruch Chorzów, Kamil Mazek, Poland
 Calcio B, Vicenza, Alessio Vita, Italy
